Date,Price,Open,High,Low,Vol.,Change %
2/22/2023,21200,"21,400.00","22,100.00","21,200.00",32.63M,-1.85%
2/23/2023,21500,"21,150.00","21,500.00","20,400.00",33.59M,1.42%
2/24/2023,20800,"21,500.00","21,500.00","20,650.00",14.60M,-3.26%
2/27/2023,20100,"20,400.00","20,550.00","19,950.00",31.32M,-3.37%
2/28/2023,20000,"20,450.00","20,500.00","19,900.00",15.22M,-0.50%
3/1/2023,20900,"20,000.00","20,900.00","19,800.00",18.62M,4.50%
3/2/2023,20600,"21,000.00","21,100.00","20,600.00",8.87M,-1.44%
3/3/2023,20350,"20,800.00","21,100.00","20,350.00",13.61M,-1.21%
3/6/2023,20400,"20,650.00","20,850.00","20,400.00",11.37M,0.25%
3/7/2023,21100,"20,600.00","21,350.00","20,550.00",29.32M,3.43%
3/8/2023,21200,"20,900.00","21,200.00","20,800.00",16.16M,0.47%
3/9/2023,21200,"21,200.00","21,550.00","21,200.00",23.27M,0.00%
3/10/2023,21300,"21,150.00","21,450.00","21,000.00",22.46M,0.47%
3/13/2023,21100,"21,050.00","21,400.00","20,900.00",20.93M,-0.94%
3/14/2023,20300,"21,050.00","21,100.00","20,200.00",30.87M,-3.79%
3/15/2023,21300,"20,800.00","21,300.00","20,600.00",26.78M,4.93%
3/16/2023,20850,"21,000.00","21,100.00","20,500.00",30.25M,-2.11%
3/17/2023,20400,"21,050.00","21,050.00","20,400.00",33.96M,-2.16%
3/20/2023,20000,"20,400.00","20,600.00","20,000.00",22.99M,-1.96%
3/21/2023,20450,"20,200.00","20,550.00","19,850.00",19.06M,2.25%
3/22/2023,20300,"20,550.00","20,600.00","20,150.00",12.86M,-0.73%
3/23/2023,20400,"20,200.00","20,400.00","20,050.00",10.74M,0.49%
3/24/2023,20400,"20,450.00","20,500.00","20,300.00",13.69M,0.00%
3/27/2023,20800,"20,400.00","20,900.00","20,350.00",20.27M,1.96%
3/28/2023,20700,"20,900.00","21,000.00","20,700.00",12.33M,-0.48%
3/29/2023,20800,"20,700.00","21,100.00","20,700.00",17.94M,0.48%
3/30/2023,20800,"21,000.00","21,150.00","20,750.00",20.96M,0.00%
3/31/2023,20800,"20,800.00","20,900.00","20,350.00",23.77M,0.00%
4/3/2023,21000,"21,050.00","21,100.00","20,850.00",21.37M,0.96%
4/4/2023,21100,"21,150.00","21,200.00","20,950.00",19.86M,0.48%
4/5/2023,21500,"21,100.00","21,500.00","20,950.00",25.52M,1.90%
4/6/2023,21500,"21,550.00","21,900.00","21,400.00",27.84M,0.00%
4/7/2023,21200,"21,500.00","21,600.00","21,100.00",18.56M,-1.40%
4/10/2023,20700,"21,250.00","21,350.00","20,600.00",26.55M,-2.36%
4/11/2023,20800,"20,700.00","20,850.00","20,600.00",14.42M,0.48%
4/12/2023,20750,"20,900.00","20,900.00","20,650.00",10.64M,-0.24%
4/13/2023,20450,"20,800.00","20,800.00","20,350.00",14.71M,-1.45%
4/14/2023,20650,"20,550.00","20,850.00","20,500.00",13.61M,0.98%
4/17/2023,20850,"20,600.00","20,900.00","20,600.00",9.28M,0.97%
4/18/2023,20950,"20,900.00","21,000.00","20,800.00",11.57M,0.48%
4/19/2023,20800,"21,050.00","21,050.00","20,800.00",10.48M,-0.72%
4/20/2023,20800,"20,800.00","20,900.00","20,750.00",6.55M,0.00%
4/21/2023,20700,"20,800.00","20,850.00","20,700.00",11.14M,-0.48%
4/24/2023,20650,"20,700.00","20,800.00","20,550.00",10.58M,-0.24%
4/25/2023,21050,"20,800.00","21,250.00","20,700.00",18.46M,1.94%
4/26/2023,22000,"21,050.00","22,000.00","20,900.00",26.82M,4.51%
4/27/2023,21700,"22,000.00","22,000.00","21,600.00",17.14M,-1.36%
4/28/2023,21650,"21,700.00","21,800.00","21,400.00",15.75M,-0.23%
5/4/2023,21300,"21,450.00","21,600.00","21,200.00",16.54M,-1.62%
5/5/2023,21450,"21,300.00","21,700.00","21,200.00",10.79M,0.70%
5/8/2023,21600,"21,550.00","21,750.00","21,450.00",10.45M,0.70%
5/9/2023,21800,"21,600.00","22,150.00","21,600.00",22.41M,0.93%
5/10/2023,21700,"21,800.00","21,900.00","21,650.00",8.74M,-0.46%
5/11/2023,21750,"21,800.00","21,950.00","21,600.00",13.64M,0.23%
5/12/2023,22350,"21,750.00","22,500.00","21,600.00",45.11M,2.76%
5/15/2023,22100,"22,450.00","22,600.00","22,100.00",17.69M,-1.12%
5/16/2023,22000,"22,100.00","22,300.00","21,900.00",17.81M,-0.45%
5/17/2023,21800,"22,000.00","22,100.00","21,750.00",26.00M,-0.91%
5/18/2023,21950,"21,900.00","22,200.00","21,800.00",18.61M,0.69%
5/19/2023,21800,"22,000.00","22,100.00","21,650.00",11.51M,-0.68%
5/22/2023,21900,"21,800.00","22,100.00","21,750.00",14.87M,0.46%
5/23/2023,21700,"21,950.00","22,050.00","21,600.00",13.62M,-0.91%
5/24/2023,21300,"21,900.00","21,900.00","21,300.00",20.27M,-1.84%
5/25/2023,21200,"21,300.00","21,450.00","21,200.00",13.26M,-0.47%
5/26/2023,21100,"21,300.00","21,400.00","20,850.00",16.09M,-0.47%
5/29/2023,21450,"21,300.00","21,450.00","21,200.00",11.09M,1.66%
5/30/2023,21350,"21,500.00","21,600.00","21,250.00",13.46M,-0.47%
5/31/2023,21200,"21,400.00","21,450.00","21,150.00",13.09M,-0.70%
6/1/2023,21400,"21,150.00","21,400.00","21,050.00",10.84M,0.94%
6/2/2023,21600,"21,500.00","21,800.00","21,450.00",18.87M,0.93%
6/5/2023,21650,"21,800.00","22,050.00","21,600.00",20.04M,0.23%
6/6/2023,21750,"21,700.00","21,850.00","21,550.00",11.80M,0.46%
6/7/2023,22600,"22,000.00","22,800.00","22,000.00",55.51M,3.91%
6/8/2023,22800,"22,700.00","23,150.00","22,700.00",42.52M,0.88%
6/9/2023,22900,"22,800.00","22,900.00","22,500.00",23.87M,0.44%
