Date,Price,Open,High,Low,Vol.,Change %
1/16/2019,42543,"43,234","43,234","42,236",901.06K,-0.89%
1/17/2019,42390,"42,466","42,774","42,313",587.04K,-0.36%
1/18/2019,42082,"42,390","42,543","42,082",692.10K,-0.73%
1/21/2019,42850,"41,929","43,158","41,852",1.11M,1.83%
1/22/2019,42390,"43,004","43,004","42,390",508.28K,-1.07%
1/23/2019,42543,"42,159","42,620","42,159",656.78K,0.36%
1/24/2019,42543,"42,543","42,697","42,236",591.90K,0.00%
1/25/2019,42850,"42,620","43,081","42,543",1.29M,0.72%
1/28/2019,42620,"43,004","43,004","42,620",430.00K,-0.54%
1/29/2019,43542,"42,620","43,542","42,390",1.24M,2.16%
1/30/2019,43542,"43,542","43,925","43,542",1.47M,0.00%
1/31/2019,43618,"43,618","44,079","43,618",1.46M,0.17%
2/1/2019,43388,"43,772","44,079","43,388",1.06M,-0.53%
2/11/2019,44617,"43,772","44,693","43,618",1.78M,2.83%
2/12/2019,45001,"44,617","45,308","44,386",2.15M,0.86%
2/13/2019,45922,"45,001","45,999","45,001",2.37M,2.05%
2/14/2019,46229,"45,922","46,306","45,769",2.08M,0.67%
2/15/2019,45538,"46,076","46,076","45,461",1.59M,-1.49%
2/18/2019,46076,"45,692","46,076","45,692",1.31M,1.18%
2/19/2019,45308,"46,076","46,229","45,308",1.66M,-1.67%
2/20/2019,45385,"45,538","45,769","45,231",1.04M,0.17%
2/21/2019,46152,"45,692","46,152","45,385",2.61M,1.69%
2/22/2019,47612,"46,229","47,919","46,076",3.19M,3.16%
2/25/2019,48687,"47,995","49,071","47,842",2.65M,2.26%
2/26/2019,48379,"48,687","48,763","47,535",2.52M,-0.63%
2/27/2019,47535,"48,226","48,379","47,304",1.47M,-1.74%
2/28/2019,46460,"47,535","47,995","46,460",2.59M,-2.26%
3/1/2019,47765,"46,844","47,765","46,690",910.43K,2.81%
3/4/2019,48226,"47,765","48,379","47,765",1.72M,0.97%
3/5/2019,48379,"48,226","48,994","47,995",2.01M,0.32%
3/6/2019,48149,"48,456","48,610","47,535",1.38M,-0.48%
3/7/2019,48456,"48,149","48,994","48,072",2.42M,0.64%
3/8/2019,48226,"47,919","48,379","47,688",1.27M,-0.47%
3/11/2019,48072,"47,919","48,149","47,535",1.30M,-0.32%
3/12/2019,49762,"48,379","49,762","48,149",2.80M,3.52%
3/13/2019,50069,"49,915","50,069","49,531",2.14M,0.62%
3/14/2019,51451,"50,069","51,451","49,531",2.90M,2.76%
3/15/2019,50683,"51,605","51,605","50,683",3.34M,-1.49%
3/18/2019,51912,"51,067","52,066","51,067",2.47M,2.42%
3/19/2019,51298,"51,912","51,912","51,221",1.77M,-1.18%
3/20/2019,51221,"51,221","51,605","50,837",3.11M,-0.15%
3/21/2019,51144,"51,374","52,142","51,067",1.95M,-0.15%
3/22/2019,51374,"51,298","51,451","51,067",1.76M,0.45%
3/25/2019,50299,"49,915","50,683","49,147",2.09M,-2.09%
3/26/2019,50299,"50,760","51,067","50,299",1.44M,0.00%
3/27/2019,50299,"50,606","50,606","49,685",686.72K,0.00%
3/28/2019,51221,"50,453","51,221","50,222",947.39K,1.83%
3/29/2019,51682,"51,451","51,835","51,298",865.19K,0.90%
4/1/2019,52066,"52,142","52,142","51,912",872.86K,0.74%
4/2/2019,51835,"52,219","52,603","51,835",710.69K,-0.44%
4/3/2019,51605,"51,835","51,912","51,067",568.65K,-0.44%
4/4/2019,51989,"51,605","52,142","51,298",1.21M,0.74%
4/5/2019,52296,"52,066","52,373","52,066",609.33K,0.59%
4/8/2019,53525,"52,296","53,525","52,142",1.43M,2.35%
4/9/2019,53601,"53,525","53,755","53,294",968.71K,0.14%
4/10/2019,52910,"53,371","53,371","52,833",917.48K,-1.29%
4/11/2019,52603,"52,987","52,987","51,989",516.89K,-0.58%
4/12/2019,52219,"52,680","52,680","51,912",453.49K,-0.73%
4/16/2019,51758,"52,219","52,219","50,990",516.32K,-0.88%
4/17/2019,52219,"52,142","52,373","51,451",659.32K,0.89%
4/18/2019,52142,"51,835","52,757","51,835",707.95K,-0.15%
4/19/2019,52219,"52,142","52,603","52,142",296.73K,0.15%
