Date,Price,Open,High,Low,Vol.,Change %
4/17/2015,3928.8,"3,851.30","4,006.40","3,851.30",10.40M,1.56%
4/20/2015,3885.8,"3,920.20","3,928.80","3,877.10",3.98M,-1.09%
4/21/2015,3885.8,"3,885.80","3,885.80","3,868.50",4.50M,0.00%
4/22/2015,3885.8,"3,885.80","3,971.90","3,885.80",6.78M,0.00%
4/23/2015,3834.1,"3,894.40","3,920.20","3,825.40",5.14M,-1.33%
4/24/2015,3834.1,"3,842.70","3,851.30","3,834.10",3.93M,0.00%
4/27/2015,3791,"3,877.10","3,920.20","3,791.00",4.18M,-1.12%
5/4/2015,3730.7,"3,851.30","3,851.30","3,704.80",11.08M,-1.59%
5/5/2015,3808.2,"3,730.70","3,851.30","3,722.10",8.13M,2.08%
5/6/2015,3747.9,"3,816.80","3,834.10","3,747.90",10.53M,-1.58%
5/7/2015,3773.8,"3,747.90","3,791.00","3,747.90",5.72M,0.69%
5/8/2015,3729.7,"3,809.00","3,901.60","3,729.70",3.99M,-1.17%
5/11/2015,3663.5,"3,716.40","3,756.10","3,650.30",2.86M,-1.77%
5/12/2015,3557.7,"3,716.40","3,716.40","3,557.70",4.83M,-2.89%
5/13/2015,3478.4,"3,531.30","3,557.70","3,438.70",9.12M,-2.23%
5/14/2015,3544.5,"3,451.90","3,544.50","3,438.70",5.19M,1.90%
5/15/2015,3451.9,"3,544.50","3,544.50","3,451.90",3.92M,-2.61%
5/18/2015,3280,"3,385.80","3,438.70","3,280.00",12.52M,-4.98%
5/19/2015,3306.4,"3,253.50","3,332.90","3,253.50",6.07M,0.80%
5/20/2015,3531.3,"3,306.40","3,531.30","3,306.40",6.39M,6.80%
5/21/2015,3531.3,"3,531.30","3,557.70","3,478.40",4.10M,0.00%
5/22/2015,3557.7,"3,504.80","3,557.70","3,491.60",3.53M,0.75%
5/25/2015,3531.3,"3,557.70","3,597.40","3,491.60",1.43M,-0.74%
5/26/2015,3597.4,"3,557.70","3,610.60","3,518.10",4.81M,1.87%
